CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,11/5/2009,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,10/25/2010,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/10/2011,00:00,9 - Temporarily inaccessible,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,10/17/2011,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,10/8/2012,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/16/2013,12:00,,9 - Acoustical sounder,468.000,0.000,468.000,543.220,542.720,75.220,467.500,UNK - Unknown,0.1 Ft,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357981N1192145W001,,1/4/2004,00:00,,,122.000,0.000,122.000,358.160,357.660,236.160,121.500,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357981N1192145W001,,1/4/2005,00:00,9 - Temporarily inaccessible,,,,,358.160,357.660,,,,,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357981N1192145W001,,4/3/2006,00:00,,,90.000,0.000,90.000,358.160,357.660,268.160,89.500,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357981N1192145W001,,5/8/2008,00:00,,,124.000,0.000,124.000,358.160,357.660,234.160,123.500,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357981N1192145W001,,11/6/2006,00:00,,,124.000,0.000,124.000,358.160,357.660,234.160,123.500,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357981N1192145W001,,9/24/2009,00:00,3 - Tape hung up,,,,,358.160,357.660,,,,,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357983N1191253W001,,1/4/2005,00:00,,,191.000,0.000,191.000,489.700,488.700,298.700,190.000,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357983N1191253W001,,4/4/2006,00:00,,,195.000,0.000,195.000,489.700,488.700,294.700,194.000,UNK - Unknown,Unknown,Delano Earlimart ID,Voluntary,,Tulare_01.01.2003-06.21.2013
357986N1193670W001,,1/23/2003,00:00,,,53.700,0.000,53.700,237.640,234.640,183.940,50.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Tulare_01.01.2003-06.21.2013
357986N1193670W001,,1/27/2004,00:00,,,48.700,0.000,48.700,237.640,234.640,188.940,45.700,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Tulare_01.01.2003-06.21.2013
357986N1193670W001,,10/3/2003,00:00,,,62.000,0.000,62.000,237.640,234.640,175.640,59.000,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Tulare_01.01.2003-06.21.2013
357986N1193670W001,,1/24/2007,00:00,,,48.500,0.000,48.500,237.640,234.640,189.140,45.500,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Tulare_01.01.2003-06.21.2013
357986N1193670W001,,2/19/2008,00:00,,,53.900,0.000,53.900,237.640,234.640,183.740,50.900,UNK - Unknown,Unknown,Bureau of Reclamation,Voluntary,,Tulare_01.01.2003-06.21.2013
